season_end,Rk_x,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,efg_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,MP,PER_x,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_x,OBPM,DBPM,BPM,VORP,exp,WSp48,PER_mean,WS_mean,PER_cond,WS_cond,PER_bin,WS_bin
1978,159,Rich Laurel,SG,23,MIL,10,0,5.7,1.0,3.1,0.323,0.0,0.0,0.0,1.0,3.1,0.323,0.323,0.4,0.4,1.0,0.6,0.4,1.0,0.3,0.3,0.1,0.4,1.0,2.4,57,7.5,0.366,0.0,0.129,10.9,7.6,9.3,6.8,2.3,0.9,10.9,24.5,-0.1,0.0,0.0,-4.4,-2.9,-7.2,-0.1,0,-0.034,7.5,0.0,False,False,0,0
1978,167,Ricky Marsh,SG,23,GSW,60,0,14.2,2.1,4.8,0.426,0.0,0.0,0.0,2.1,4.8,0.426,0.426,0.4,0.6,0.697,0.3,1.0,1.3,1.5,0.5,0.3,0.8,1.9,4.5,851,8.4,0.443,0.0,0.114,1.9,7.2,4.5,13.9,1.5,1.2,14.1,16.3,-0.3,0.8,0.5,-3.6,-0.7,-4.3,-0.5,0,0.028,8.4,0.5,False,False,0,0
1978,168,Cedric Maxwell,SF,22,BOS,72,0,16.8,2.4,4.4,0.538,0.0,0.0,0.0,2.4,4.4,0.538,0.538,2.6,3.5,0.752,1.9,3.3,5.3,0.9,0.7,0.7,1.7,2.1,7.3,1213,17.8,0.62,0.0,0.791,11.8,19.7,15.9,7.6,2.0,2.0,22.3,17.5,2.4,1.8,4.2,0.3,1.3,1.6,1.1,0,0.166,15.9818181818,7.14545454545,False,True,0,1
1978,183,Larry Moffett,SF,23,HOU,20,0,5.5,0.3,0.9,0.294,0.0,0.0,0.0,0.3,0.9,0.294,0.294,0.3,0.5,0.6,0.5,0.6,1.1,0.4,0.1,0.1,0.4,0.8,0.8,110,4.0,0.374,0.0,0.588,9.4,10.9,10.1,7.5,0.9,1.0,27.2,10.7,-0.1,0.0,-0.1,-4.4,-0.2,-4.7,-0.1,0,-0.042,4.0,-0.1,False,False,0,0
1978,186,Glenn Mosley,PF,22,PHI,6,0,3.5,0.8,2.2,0.385,0.0,0.0,0.0,0.8,2.2,0.385,0.385,0.5,1.2,0.429,0.0,0.8,0.8,0.3,0.0,0.0,0.8,0.8,2.2,21,0.6,0.404,0.0,0.538,0.0,23.3,12.1,14.1,0.0,0.0,23.7,38.0,-0.1,0.0,-0.1,-11.9,-4.7,-16.6,-0.1,0,-0.228,6.4,0.1,False,False,0,0
1978,194,Norm Nixon,PG,22,LAL,81,0,34.3,6.1,12.3,0.497,0.0,0.0,0.0,6.1,12.3,0.497,0.497,1.4,2.0,0.714,0.5,2.4,3.0,6.8,1.7,0.1,3.1,3.2,13.7,2779,14.1,0.518,0.0,0.161,1.6,7.0,4.4,26.0,2.2,0.1,19.0,18.5,2.3,2.1,4.5,0.2,-0.9,-0.6,1.0,0,0.078,14.99,4.75,False,False,0,0
1978,197,Eddie Owens,SF,24,BUF,8,0,7.9,1.1,2.6,0.429,0.0,0.0,0.0,1.1,2.6,0.429,0.429,0.4,0.8,0.5,0.6,0.6,1.3,0.6,0.1,0.0,0.4,1.1,2.6,63,8.8,0.444,0.0,0.286,8.6,8.5,8.5,11.0,0.7,0.0,11.3,16.9,0.0,0.0,0.0,-2.0,-2.8,-4.9,0.0,0,0.027,8.8,0.0,False,False,0,0
1978,205,Ben Poquette,PF,22,DET,52,0,12.0,1.8,4.3,0.422,0.0,0.0,0.0,1.8,4.3,0.422,0.422,0.8,1.2,0.7,1.0,1.8,2.8,0.4,0.2,0.4,0.8,1.3,4.5,626,10.6,0.461,0.0,0.267,8.5,15.7,12.2,4.3,0.7,1.8,13.7,17.8,0.1,0.5,0.6,-3.4,-1.8,-5.2,-0.5,0,0.049,12.06,3.03,False,False,0,0
1978,211,Robert Reid,SF,22,HOU,80,0,23.1,3.3,7.2,0.455,0.0,0.0,0.0,3.3,7.2,0.455,0.455,0.8,1.2,0.656,1.4,3.1,4.5,1.5,0.8,0.6,1.0,3.5,7.3,1849,11.3,0.475,0.0,0.167,6.2,14.6,10.3,8.7,1.7,1.5,11.6,15.0,1.4,0.9,2.3,-0.8,0.7,-0.2,0.9,0,0.061,11.7692307692,3.09230769231,False,False,0,0
1978,213,Anthony Roberts,SF,22,DEN,82,0,19.5,3.8,9.0,0.423,0.0,0.0,0.0,3.8,9.0,0.423,0.423,1.9,2.6,0.722,1.6,2.6,4.3,1.3,0.5,0.1,1.4,2.6,9.5,1598,12.2,0.467,0.0,0.288,9.0,13.4,11.3,9.4,1.1,0.2,12.5,22.7,0.8,1.1,1.9,-1.7,-2.5,-4.2,-0.9,0,0.057,9.12,0.66,False,False,0,0
