season_end,Rk_x,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,efg_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,MP,PER_x,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_x,OBPM,DBPM,BPM,VORP,exp,WSp48,PER_mean,WS_mean
1981,52,Michael Cooper,SG,24,LAL,81,0,32.4,4.0,8.1,0.491,0.0,0.2,0.211,3.9,7.8,0.499,0.494,1.4,1.8,0.785,1.5,2.7,4.1,4.1,1.6,1.0,2.0,3.1,9.4,2625,12.2,0.53,0.029,0.228,5.3,8.4,6.9,15.2,2.4,1.6,18.6,13.5,2.0,3.0,5.0,-0.4,1.9,1.5,2.3,2,0.092,13.0333333333,4.36666666667
1981,53,Wayne Cooper,C,24,UTA,71,0,20.0,3.0,6.6,0.452,0.0,0.0,0.333,3.0,6.6,0.453,0.453,0.9,1.3,0.689,2.3,3.9,6.2,0.7,0.3,0.7,1.1,3.1,6.9,1420,12.2,0.479,0.006,0.191,13.6,21.9,17.8,5.3,0.6,2.1,13.1,17.8,0.5,1.0,1.5,-2.7,-1.5,-4.1,-0.8,2,0.051,12.7571428571,2.64285714286
1981,54,Dave Corzine,C,24,SAS,82,0,23.9,4.5,9.1,0.49,0.0,0.0,0.0,4.5,9.1,0.492,0.49,1.5,2.1,0.714,2.8,5.0,7.8,1.4,0.5,1.2,1.6,2.6,10.5,1960,16.5,0.52,0.004,0.234,13.2,21.7,17.7,8.4,1.0,2.7,13.7,19.3,2.6,2.5,5.1,0.0,0.4,0.4,1.2,2,0.125,12.4692307692,2.88461538462
1981,56,Geoff Crompton,C,25,POR,6,0,5.5,0.7,1.3,0.5,0.0,0.0,0.0,0.7,1.3,0.5,0.5,0.2,0.8,0.2,1.2,1.8,3.0,0.3,0.0,0.3,0.8,0.7,1.5,33,11.0,0.441,0.0,0.625,23.0,36.4,29.7,7.4,0.0,3.3,32.9,18.3,-0.1,0.1,0.0,-6.1,-0.2,-6.3,0.0,2,-0.029,5.56,0.0
1981,80,Bob Elliott,C,25,NJN,73,0,18.1,2.9,5.7,0.511,0.0,0.0,0.5,2.9,5.7,0.511,0.512,1.7,2.8,0.599,1.4,2.2,3.6,1.8,0.5,0.2,1.6,2.4,7.5,1320,12.3,0.541,0.005,0.482,8.7,13.7,11.2,13.7,1.2,0.7,19.0,18.8,0.6,0.9,1.6,-1.1,-0.6,-1.7,0.1,2,0.057,12.5,1.03333333333
1981,88,Phil Ford,PG,24,KCK,66,0,34.7,6.4,13.4,0.478,0.2,0.5,0.306,6.3,12.9,0.485,0.484,4.5,5.4,0.831,0.4,1.5,1.9,8.8,1.5,0.1,3.7,2.9,17.5,2287,17.3,0.553,0.041,0.399,1.3,4.9,3.1,35.5,2.1,0.1,18.8,23.3,3.4,1.9,5.2,1.2,-2.3,-1.1,0.5,2,0.11,12.6,3.34285714286
1981,109,James Hardy,PF,24,UTA,23,0,22.1,2.3,4.8,0.468,0.0,0.0,0.0,2.3,4.8,0.468,0.468,0.5,0.9,0.55,1.7,4.1,5.8,1.6,0.9,0.9,1.0,2.5,5.0,509,11.9,0.48,0.0,0.18,8.9,20.9,15.0,9.5,2.0,2.3,16.1,12.1,0.1,0.5,0.7,-2.4,1.9,-0.5,0.2,2,0.064,11.45,1.575
1981,117,Keith Herron,SG,24,DET,80,0,28.4,5.4,11.9,0.453,0.0,0.1,0.182,5.4,11.8,0.456,0.454,2.9,3.3,0.854,1.2,1.4,2.6,1.9,1.1,0.3,1.9,1.9,13.7,2270,13.4,0.511,0.012,0.28,4.7,6.1,5.4,10.4,1.9,0.7,12.5,21.8,1.6,1.9,3.5,-0.9,-1.2,-2.1,-0.1,2,0.074,9.83333333333,1.06666666667
1981,118,Kenny Higgs,PG,26,DEN,72,0,23.5,2.9,6.6,0.441,0.1,0.5,0.118,2.8,6.1,0.466,0.445,1.9,2.4,0.814,0.3,1.7,2.0,5.7,1.4,0.1,2.3,3.4,7.8,1689,11.9,0.511,0.072,0.363,1.4,7.5,4.4,29.3,2.6,0.2,23.2,15.7,0.7,0.9,1.5,-1.0,-1.7,-2.7,-0.3,2,0.043,11.7,1.56666666667
1981,130,Clemon Johnson,C,24,IND,81,0,20.3,2.9,5.8,0.504,0.0,0.0,0.0,2.9,5.7,0.505,0.504,1.4,2.3,0.593,2.1,3.6,5.8,1.8,0.5,1.5,1.5,2.3,7.2,1643,15.6,0.53,0.002,0.406,11.1,20.2,15.5,11.8,1.3,4.1,18.1,16.3,1.4,2.3,3.7,-0.8,2.3,1.5,1.5,2,0.108,12.04,2.55
