ID,Fleet,Status,Gross_Amount,Trip_Adjusted,Promo_Code,Discount_Applied,Existing_Passenger
339676,Discount Cab,Cancelled,0,No,,,
339675,Discount Cab,Cancelled,0,No,,,
339674,Discount Cab,Meter Off,46,No,,0,Yes
339673,Discount Cab,Cancelled,10,No,,,
339672,Discount Cab,Meter Off,17,No,DEVILS20,20,Yes
339671,RideShare,Meter Off,6,No,,0,Yes
339670,Discount Cab,Meter Off,79,No,,0,Yes
339669,Discount Cab,Meter Off,7,No,DC10,10,No
339668,Discount Cab,Cancelled,0,No,,,
339667,RideShare,Meter Off,20,No,TRYUS,10,No
339666,Discount Cab,Meter Off,13,No,,0,Yes
339665,RideShare,Cancelled,0,No,,,
339664,RideShare,Meter Off,0,No,1203190,8,No
339663,Discount Cab,Meter Off,6,No,OPEN,10,Yes
339662,Discount Cab,Meter Off,16,No,,0,Yes
339660,Discount Cab,Meter Off,39,No,,0,Yes
339659,RideShare,Meter Off,25,No,OLDTOWN10,10,Yes
339658,RideShare,Meter Off,10,No,,0,Yes
339657,RideShare,Meter Off,0,No,FB10,8,No
339656,RideShare,Meter Off,49,No,1207207,10,Yes
339655,Discount Cab,Meter Off,9,No,,0,Yes
339654,Discount Cab,Meter Off,9,No,,0,Yes
339653,Discount Cab,Meter Off,5,No,OPEN,10,No
339652,Discount Cab,Meter Off,32,No,,0,Yes
339651,Discount Cab,Meter Off,18,No,,0,Yes
339650,Discount Cab,Cancelled,0,No,,,
339649,Discount Cab,Meter Off,1,No,OPEN,10,Yes
339648,RideShare,Meter Off,14,No,,0,Yes
339647,Discount Cab,Meter Off,10,No,,0,Yes
339646,Discount Cab,Meter Off,19,No,1410160,10,No
339644,Discount Cab,Meter Off,22,No,,0,Yes
339643,RideShare,Meter Off,12,No,1307087,10,No
339642,Discount Cab,Cancelled,0,No,,,
339641,Discount Cab,Meter Off,24,No,,0,Yes
339640,Accessible Van,Unable To Match,0,No,,,
339639,Discount Cab,Unable To Auth,0,No,,,
339638,RideShare,Meter Off,25,No,DEVILS20,20,Yes
339637,Discount Cab,Meter Off,32,Yes,,0,Yes
339636,Discount Cab,Unable To Auth,0,No,,,
339635,RideShare,Meter Off,6,No,,0,Yes
339634,Discount Cab,Meter Off,0,No,OPEN,9,Yes
339633,Discount Cab,Meter Off,19,No,,0,Yes
339632,Discount Cab,Cancelled,0,No,,,
339631,Discount Cab,Cancelled,0,No,,,
339630,Discount Cab,Meter Off,50,No,,0,Yes
339629,RideShare,Meter Off,0,No,KUPD8594,6,Yes
339628,RideShare,Meter Off,0,No,OPEN,7,Yes
339627,Discount Cab,Meter Off,6,No,DEVILS20,20,No
339626,Discount Cab,Meter Off,27,No,,0,Yes
339625,Discount Cab,Cancelled,10,No,,,
339624,Discount Cab,Meter Off,25,No,,0,Yes
339623,Black,Meter Off,0,No,2pbemployee,61,Yes
339622,RideShare,Meter Off,0,No,DC10,7,Yes
339621,Discount Cab,Meter Off,10,No,DC10,10,No
339620,RideShare,Meter Off,6,No,,0,Yes
339619,Discount Cab,Meter Off,4,No,DC10,10,No
339618,Black,Cancelled,0,No,,,
339617,RideShare,Meter Off,0,No,DC10,10,No
339616,RideShare,Cancelled,10,No,,,
339615,Discount Cab,Meter Off,22,No,,0,Yes
339614,Discount Cab,Meter Off,34,No,TTAPP25,9,No
339613,Discount Cab,Unable To Match,0,No,,,
339612,RideShare,Meter Off,58,No,,0,Yes
339611,Accessible Van,Unable To Match,0,No,,,
339610,RideShare,Cancelled,0,No,,,
339609,RideShare,Meter Off,55,No,1112023,10,Yes
339607,Discount Cab,Meter Off,9,No,,0,Yes
339606,Discount Cab,Unable To Match,0,No,,,
339605,RideShare,Meter Off,9,No,,0,Yes
339604,Discount Cab,Meter Off,33,No,DC10,10,No
339603,Discount Cab,Cancelled,0,No,,,
339602,Van,Unable To Match,0,No,,,
339601,Discount Cab,Unable To Match,0,No,,,
339600,Discount Cab,Meter Off,9,No,,0,Yes
339599,Discount Cab,Meter Off,29,No,,0,Yes
339598,RideShare,Cancelled,0,No,,,
339597,RideShare,Cancelled,0,No,,,
339596,Discount Cab,Cancelled,10,No,,,
339595,RideShare,Cancelled,0,No,,,
339594,Discount Cab,Cancelled,0,No,,,
339593,Discount Cab,Cancelled,0,No,,,
339592,Discount Cab,Cancelled,0,No,,,
339591,RideShare,Cancelled,0,No,,,
339590,Discount Cab,Meter Off,30,No,,0,Yes
339589,RideShare,Meter Off,21,No,OLDTOWN20,20,Yes
339588,Black,Unable To Match,0,No,,,
339587,Black,Cancelled,0,No,,,
339586,SUV,Cancelled,0,No,,,
339585,RideShare,Meter Off,2,No,PHOENIX,10,Yes
339584,SUV,Cancelled,0,No,,,
339583,Accessible Van,Unable To Match,0,No,,,
339582,Discount Cab,Meter Off,11,No,,0,Yes
339581,Discount Cab,Cancelled,10,No,,,
339580,RideShare,Meter Off,24,Yes,TOPGOLF20,20,Yes
339577,Discount Cab,Meter Off,22,No,802116,10,Yes
339576,Discount Cab,Meter Off,11,No,PHOENIX,10,Yes
339575,Discount Cab,Cancelled,0,No,,,
339574,Discount Cab,Meter Off,34,No,,0,Yes
339573,Black,Meter Off,0,No,2pbemployee,49,Yes
339572,Accessible Van,Meter Off,25,Yes,,0,Yes
339571,SUV,Unable To Match,0,No,,,
339570,SUV,Cancelled,0,No,,,
339569,SUV,Unable To Match,0,No,,,
339568,SUV,Cancelled,0,No,,,
339567,Accessible Van,Unable To Match,0,No,,,
339566,Black,Unable To Match,0,No,,,
339565,Black,Cancelled,0,No,,,
339564,Black,Unable To Match,0,No,,,
339563,Black,Cancelled,0,No,,,
339562,Black,Cancelled,0,No,,,
339561,Discount Cab,Meter Off,4,No,1203190,10,No
339560,Discount Cab,Meter Off,9,No,,0,Yes
339559,RideShare,Cancelled,0,No,,,
339558,Discount Cab,Meter Off,2,No,1407234,10,Yes
339557,RideShare,Meter Off,6,No,PHOENIX,10,Yes
339556,RideShare,Unable To Match,0,No,,,
339555,RideShare,Cancelled,10,No,,,
339554,Discount Cab,Cancelled,0,No,,,
339553,Discount Cab,Meter Off,6,No,BIGGAME,10,Yes
339552,RideShare,Unable To Auth,0,No,,,
339551,Discount Cab,Meter Off,16,No,DC10,10,No
339550,Discount Cab,Cancelled,0,No,,,
339549,RideShare,Meter Off,6,No,,0,Yes
339548,Discount Cab,Meter Off,26,No,,0,Yes
339547,Discount Cab,Meter Off,10,No,,0,Yes
339546,Cab,Meter Off,0,No,FREEBWIN1,8,Yes
339545,Discount Cab,Meter Off,14,No,1207086,10,Yes
339544,Discount Cab,Unable To Match,0,No,,,
339543,Discount Cab,Meter Off,29,No,,0,Yes
339542,Cab,Unable To Match,0,No,,,
339541,RideShare,Meter Off,8,No,EAST,20,No
339540,Discount Cab,Meter Off,10,No,,0,Yes
339539,Discount Cab,Cancelled,10,No,,,
339538,Discount Cab,Meter Off,25,No,,0,Yes
339537,RideShare,Meter Off,12,No,OLDTOWN10,10,Yes
339536,RideShare,Meter Off,10,No,,0,Yes
339534,Discount Cab,Meter Off,16,No,,0,Yes
339533,RideShare,Meter Off,6,No,,0,Yes
339532,Discount Cab,Meter Off,20,No,,0,Yes
339531,RideShare,Meter Off,0,No,OPEN,6,Yes
339530,RideShare,Meter Off,28,No,,0,Yes
339529,Discount Cab,Meter Off,11,No,,0,Yes
339528,Discount Cab,Meter Off,18,No,,0,Yes
339527,Discount Cab,Meter Off,12,No,,0,Yes
339526,Discount Cab,Meter Off,22,No,,0,Yes
339525,RideShare,Meter Off,6,No,,0,Yes
339524,Discount Cab,Meter Off,24,No,,0,Yes
339523,Discount Cab,Meter Off,20,No,,0,Yes
339522,Discount Cab,Meter Off,12,No,,0,Yes
339521,RideShare,Meter Off,0,No,OLDTOWN20,15,No
339520,RideShare,Unable To Auth,0,No,,,
339519,RideShare,Meter Off,28,No,,0,Yes
339518,Discount Cab,Cancelled,0,No,,,
339517,Discount Cab,Cancelled,0,No,,,
339516,Discount Cab,Meter Off,12,No,DC10,10,No
339515,Discount Cab,Meter Off,2,No,DC10,10,No
339514,Discount Cab,Meter Off,14,No,PHOENIX,10,No
339513,RideShare,Meter Off,28,No,,0,Yes
339512,RideShare,Meter Off,0,No,PHOENIX,6,No
339511,RideShare,Unable To Match,0,No,,,
339510,Discount Cab,Cancelled,0,No,,,
339509,Discount Cab,Meter Off,18,No,HAPPY,5,Yes
339508,Discount Cab,Meter Off,19,No,,0,Yes
339507,Discount Cab,Meter Off,10,No,1110097,10,No
339506,Discount Cab,Meter Off,16,No,,0,Yes
339505,Discount Cab,Meter Off,95,No,FB10,10,Yes
