company;total_funding
cerner innovation;0.0
health dialog services;0.0
ims software services;0.0
medicity;0.0
humana;0.0
ccc information services;0.0
allianz life insurance of north america;0.0
lincoln national life insurance;0.0
cbs interactive;0.0
rearden commerce;0.0
concerro;0.0
sap aktiengeselleschaft;2000000.0
sharethis;85758221.0
sap;2000000.0
intuit;6700000.0
teletech holdings;0.0
versata development group;0.0
openlane;10000000.0
jellyvision lab;5000000.0
zillow;96627980.0
mastercard international;0.0
barclays capital;0.0
ebay;6700000.0
adaptive technologies;0.0
ariba;0.0
nasdaq omx group;0.0
pipeline financial group;1400000.0
horizon digital finance;0.0
autoalert;0.0
openwave systems;0.0
directv group;0.0
cadence design systems;0.0
inquira;0.0
health discovery;0.0
nec laboratories america;0.0
symantec;0.0
x-aitment;6670000.0
brilliant digital entertainment;0.0
infoblox;30000000.0
panasas;65230481.0
access;0.0
novell;0.0
semmle;10000000.0
permabit technology;12000000.0
blue coat systems;0.0
amazon technologies;8000000.0
baynote;32495730.0
vmware;368500000.0
sap france;2000000.0
vizibility;4705910.0
kayak software;235024070.0
emc;0.0
dictaphone;0.0
red hat;0.0
tific;0.0
surf canyon;0.0
stmicroelectronics research & development;0.0
compete;33000000.0
confluence commons;60000000.0
waratek;0.0
realnetworks;0.0
invensys systems;0.0
sprint spectrum;0.0
capital one financial;0.0
sony computer entertainment;0.0
wayport;0.0
compuware;0.0
international business machines corportion;0.0
radvision;0.0
sendmail;2943368.0
data equation;0.0
rayv;16030566.0
teliasonera;0.0
medtronic minimed;0.0
inova;0.0
total phase;0.0
tellabs oy;0.0
pmc-sierra us;0.0
skymedi;0.0
netapp;0.0
edgecast networks;74000000.0
cray;0.0
open computing trust i &;200000.0
phoenix technologies;0.0
certicom;0.0
packet digital;0.0
symantec operating;0.0
formfactor;0.0
anritsu;0.0
cortina systems;0.0
siliconsystems;0.0
jaco athletics;0.0
reebok international;0.0
dr fresh;0.0
guava family;0.0
sistema plastics;0.0
sears brands;0.0
fiskars brands;0.0
a richard tools co/outils a richard;0.0
ebsco industries;0.0
